Platform,Count
3s-smart,1
7-zip,1
aas9,1
ab google map travel project,1
acme,1
acobot live chat %26 contact form project,1
actian,1
actiontec,2
adb,1
administration views project,2
adminsystems cms project,2
adnovum,1
adobe,88
aegirproject,1
aftab,1
agilent technologies,1
airties,2
ajax timeline project,1
ajsquare,2
akronymmanager project,1
alcatel-lucent,4
alfresco,1
alienvault,1
alkacon,1
almail,2
amazon aws project,1
ansible,3
ansibleworks,1
antlabs,3
apache,23
apache solr real-time project,1
apereo,1
apphp,1
apple,426
apport project,1
apptha,1
arabportal,1
archmage project,1
arcserve,2
arduino json project,1
arj software,3
artifex,1
arubanetworks,7
asus,4
atlassian,1
audiosharescript,2
auto-exchanger,1
avatar uploader project,1
avigilon,1
avinu,1
avira,1
balanced,1
banner effect header project,2
barracuda,2
basware,7
batch jobs project,1
bblog project,1
be user log project,1
beasts,1
beckhoff,1
bedita,2
beehive forum,1
belkin,1
bestpractical,3
bestwebsoft,1
betster project,1
bisonware,1
bittorrent,3
blackberry,1
blackcat-cms,1
blubrry,1
blue coat,7
bluecoat,1
bolt,1
bomgar,1
bonitasoft,1
boosted,1
borland,1
boxautomation,1
boxoft,1
brother,1
c-board moyuku project,1
ca,2
cacti,6
cagintranetworks,2
campaign monitor project,1
canon,1
canonical,35
catbot project,1
centreon,2
ceph,2
ceragon,1
certify project,1
cfdbplugin,2
cgi rescue,1
chamilo integration project,1
chaos tool suite project,3
checkpw project,1
chiyu,1
chiyutw,2
chromium,1
church admin project,1
ciphercoin,1
cisco,353
citrix,10
civicrm,1
clamav,4
clip-bucket,1
cloudwords,2
clusterlabs,1
clutter project,1
cmsjunkie,2
codelogic,1
codepeople,2
codfront labs,1
commerce balanced payments project,1
commerce ogone project,1
concrete5,2
conntrack-tools project,1
content construction kit project,1
content rating extbase project,2
content rating project,2
context project,1
coppermine-gallery,4
corel,1
corner project,1
cosmoshop,1
cp reservation calender project,1
crea8social,1
crear.ne.jp,1
creative-solutions,1
croogo,1
crossslide jquery project,1
crumbs project,1
cs-cart,1
cubecart,1
cups,2
current search links project,1
cybernetikz,1
cyberoam,1
cygnux,1
d-link,6
das watchdog project,1
datalex,1
debian,33
decisions project,1
dell,8
dena,1
dev4press,2
developer log project,1
devexpress,1
digia,4
digitalnature,1
digium,2
display suite project,1
django-markupfield project,1
djangoproject,9
dlc solutions,1
dlguard,3
docker,4
documentcloud,1
dokuwiki,1
dolibarr,1
dotnetnuke,1
dounokouno,2
dream-multimedia-tv,1
droidwareuk,1
drupal,5
drupalcommerce,1
drupaldise,2
drupaljedi,1
dulwich project,1
dynamic display block project,1
e107,2
easing slider,1
easy2map project,2
easyio,1
ecava,1
ecommercemajor project,1
ektron,4
elasticsearch,5
elegant themes,1
eliacom,1
elipse,1
emc,60
emerson,1
encrypted contact form project,1
endian firewall,1
endress%2bhauser,1
entity api project,1
entitybulkdelete project,1
entityform block project,1
epignosis,1
ericsson,3
etouch,2
eventsentry,1
everest,1
extplorer,1
f21,1
f5,5
facebook album fetcher project,1
fancybox project,1
fancyfon,2
faq-frequenty asked questions project,1
fatfreecrm,1
fca,1
fedora,2
fedoraproject,8
feedwordpress project,1
ferretcms project,4
ffmpeg,10
fibonacciorange,1
field display label project,1
fieldable panels panes project,1
finder project,1
fiverrscript,1
flashy project,1
fli4l,1
fork-cms,1
fortinet,22
foxitsoftware,4
free-counter,1
freebit,1
freebsd,3
freeimage project,1
freeipa,1
freereprintables,4
frontend user upload project,1
funnymonkey,1
fuse project,1
fusionforge,1
futomi,1
gaia-gis,1
garrettcom,4
ge,2
geddyjs,1
gemalto,1
genixcms,2
geo mashup project,1
getusedtoit,1
ghisler,1
ghozylab,1
gigpress,1
gnome,1
gns3,1
gnu,12
goautodial,4
google,140
google doc embedder,1
googlesearch project,1
grandstream,1
gsm,1
guide-park,1
h-fj,1
h5ai project,1
hancom,1
haproxy,1
haxx,4
hidemaru,1
holding pattern project,1
homepage decorator,1
honeywell,3
hospira,5
hotspot express,1
hotspotexpress,1
hp,58
htaccess project,1
htacg,2
huawei,5
hybridauth social login project,2
i-o data device,1
ibc solar,3
ibm,161
ibs mappro project,1
icsgmbh,1
ids,1
igniterealtime,2
igreks,7
iij,1
ilch,1
image metadata cruncher project,1
image title project,1
imagefield info project,1
impero,2
impliedbydesign,1
inductiveautomation,6
indusoft,2
inetc project,1
infinite automation systems,1
info-zip,1
infoblox,1
inline entity form project,1
inlinks project,1
innominate,1
insanevisions,3
insite,3
intelliants,1
invisionpower,2
invoice project,2
iodata,1
iojs,1
ipass,1
ippusbxd project,1
ipsec-tools,1
isc,5
ispconfig,2
j2store,1
jabberd2,1
jakweb,3
jammer project,1
job fair project,1
job manager,1
joomla,3
joshics,1
jsp%2fmysql administrador web project,2
juniper,12
jupyter,1
kajona,1
kallithea,1
kankun,1
kaseya,2
kcodes,1
kde,2
kent-web,2
kernel,1
keyword research project,1
kgb project,1
kiwix,1
kogmbh,1
komodia,2
konicaminolta,1
kozos,3
labsmedia,1
labtech software,1
landing pages project,2
lemon-s php,4
lenovo,7
levelten interactive,1
