id,value,type
source,value,0
target,0.0,1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",7.5,0
novell opensuse,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",4.3,0
redhat jboss operations network,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",6.8,0
pivotx pivotx,0.0,1
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",0.0,0
cups cups,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",6.5,0
osisoft pi sql for af,0.0,1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",5.0,0
hospira lifecare pca5,0.0,1
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'NONE')",4.9,0
rockwellautomation rsview32,0.0,1
qualiteam x-cart,0.0,1
magic hills wonderplugin audio player,0.0,1
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",7.2,0
lenovo system update,0.0,1
nucleuscms nucleus cms,0.0,1
watchguard xcs,0.0,1
netcat netcat,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",5.8,0
services single sign-on server helper project services single sign-on server helper,0.0,1
photocati media photocrati,0.0,1
myupb ultimate php board,0.0,1
persistent systems radia client automation,0.0,1
npds revolution,0.0,1
motorola motorola scanner sdk,0.0,1
fancybox project fancybox,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",6.8,0
moodle moodle,0.0,1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",8.5,0
symantec endpoint protection manager,0.0,1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",6.0,0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",5.5,0
htaccess project htaccess,0.0,1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",3.5,0
cloudwords cloudwords for multilingual,0.0,1
usersultra usersultra,0.0,1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",5.0,0
apple os x server,0.0,1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",8.5,0
samsung samsung security manager,0.0,1
apple iphone os,0.0,1
google chrome,0.0,1
google android,0.0,1
linux linux kernel,0.0,1
xen xen,0.0,1
zohocorp servicedesk plus,0.0,1
cmsjunkie j-classifiedsmanager,0.0,1
zohocorp manageengine supportcenter plus,0.0,1
themepunch slider revolution,0.0,1
mylittleforum my little forum,0.0,1
ecommercemajor project ecommercemajor,0.0,1
pragyan cms project pragyan cms,0.0,1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",6.4,0
gnu glibc,0.0,1
time tracker project time tracker,0.0,1
ricoh dl-1 sr10,0.0,1
apple itunes,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",5.8,0
almail al-mail32,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",4.3,0
impliedbydesign navigate,0.0,1
clip-bucket clipbucket,0.0,1
cosmoshop cosmoshop,0.0,1
homepage decorator perltreebbs,0.0,1
nishishi fumy news clipper,0.0,1
shiromuku guestbook,0.0,1
saurus saurus cms,0.0,1
c-board moyuku project c-board moyuku,0.0,1
"('ADJACENT_NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",1.8,0
okb.co.jp smartphone passbook,0.0,1
siemens climatix bacnet%2fip,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",4.4,0
dell sonicwall netextender firmware,0.0,1
smart trim project smart trim,0.0,1
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",2.6,0
strongswan strongswan,0.0,1
theeventscalendar eventbrite tickets,0.0,1
techsmith camtasia relay,0.0,1
dev4press gd bbpress attachments,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",4.0,0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",6.9,0
oracle berkeley db,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",3.3,0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",3.5,0
oracle mysql,0.0,1
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",4.9,0
oracle solaris,0.0,1
oracle hyperion,0.0,1
vmware vcenter server,0.0,1
blackcat-cms blackcat cms,0.0,1
fedoraproject fedora,0.0,1
synology download station,0.0,1
nokia %40vantage commander,0.0,1
splunk splunk,0.0,1
adobe air,0.0,1
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",2.9,0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",5.0,0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",7.8,0
pcman%27s ftp server project pcman%27s ftp server,0.0,1
microsoft windows rt 8.1,0.0,1
microsoft windows vista,0.0,1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",6.4,0
mozilla firefox esr,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",9.3,0
mozilla firefox,0.0,1
microsoft internet explorer,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",4.3,0
apple mac os x,0.0,1
digitalnature fusion,0.0,1
ffmpeg ffmpeg,0.0,1
zoneo-soft phptraffica,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",3.3,0
debian debian linux,0.0,1
wordpress wordpress,0.0,1
webform project webform,0.0,1
"('LOCAL', 'LOW', 'NONE', 'NONE', 'COMPLETE')",6.6,0
zarafa zarafa collaboration platform,0.0,1
ubercart webform integration project ubercart webform integration,0.0,1
osscube custom sitemap,0.0,1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",4.9,0
web-dorado web-dorado spider video player,0.0,1
web-dorado spider catalog,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",7.1,0
cisco ios,0.0,1
cisco web security appliance,0.0,1
cisco ios xr,0.0,1
cisco webex meeting center,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",6.1,0
cisco nexus 7000,0.0,1
cisco unified communications domain manager,0.0,1
opac project opac,0.0,1
ubercart currency conversion project ubercart currency conversion,0.0,1
phplist integration project phplist integration,0.0,1
dlc solutions course,0.0,1
hp matrix operating environment,0.0,1
mit kerberos,0.0,1
wikiwiki project wikiwiki,0.0,1
openssl openssl,0.0,1
rubyonrails ruby on rails,0.0,1
pivotal software spring framework,0.0,1
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",2.1,0
ibm websphere commerce,0.0,1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",7.8,0
rack project rack,0.0,1
cisco unified communications manager im and presence service,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",4.0,0
cisco unified presence server,0.0,1
cisco headend system release,0.0,1
cisco unified ip phones 9900 series firmware,0.0,1
cisco nexus 9332pq,0.0,1
cisco wireless lan controller software,0.0,1
openstack neutron,0.0,1
