source,target,value
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",novell opensuse,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",redhat jboss operations network,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",pivotx pivotx,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cups cups,0.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",osisoft pi sql for af,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",pivotx pivotx,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",hospira lifecare pca5,5.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'NONE')",rockwellautomation rsview32,4.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",pivotx pivotx,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",qualiteam x-cart,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",magic hills wonderplugin audio player,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",lenovo system update,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",nucleuscms nucleus cms,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",watchguard xcs,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",netcat netcat,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",services single sign-on server helper project services single sign-on server helper,5.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",photocati media photocrati,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",myupb ultimate php board,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",persistent systems radia client automation,0.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",npds revolution,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",motorola motorola scanner sdk,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",fancybox project fancybox,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",moodle moodle,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",symantec endpoint protection manager,8.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",symantec endpoint protection manager,6.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",symantec endpoint protection manager,5.5
